fold,f1_macro,accuracy,balanced_accuracy,best_iteration,n_components
1,0.3338874680306906,0.48148148148148145,0.3738095238095238,39,74
2,0.5161255411255411,0.5925925925925926,0.5089285714285714,52,75
3,0.46509209744503865,0.5769230769230769,0.4784722222222222,44,75
4,0.5107142857142857,0.5769230769230769,0.5208333333333333,24,75
5,0.4527950310559006,0.5384615384615384,0.4895833333333333,16,75
