fold,f1_macro,accuracy,balanced_accuracy,best_iteration,n_components
1,0.5494652406417113,0.5925925925925926,0.5303571428571429,60,
2,0.31003125888036376,0.4444444444444444,0.3380952380952381,64,
3,0.4482959850606909,0.46153846153846156,0.47291666666666665,77,
4,0.5841269841269842,0.6153846153846154,0.6354166666666667,70,
5,0.4706521739130435,0.5384615384615384,0.46875,62,
