epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,1.8223013162612915,0.2648401826484018,0.21118430414243727,1.4584049781163533,0.2830188679245283,0.15578947368421053
2,1.4586085677146912,0.4246575342465753,0.2551870414481212,1.2492789427439372,0.5094339622641509,0.36634146341463414
3,1.2717936217784882,0.4611872146118721,0.3842969487571116,1.0485896865526836,0.5283018867924528,0.390092879256966
4,1.0904280304908753,0.4611872146118721,0.37330459770114943,0.9630584518114725,0.5660377358490566,0.4247559254050815
5,0.9761351644992828,0.4977168949771689,0.46840517736772985,0.8908214767773946,0.5471698113207547,0.38543417366946775
6,0.8078537106513977,0.6255707762557078,0.6188881843493055,1.1411765019098918,0.41509433962264153,0.32926315789473687
7,0.7290091753005982,0.6438356164383562,0.7110394438674346,0.8040019075075785,0.5660377358490566,0.3956565656565657
8,0.5412835210561753,0.684931506849315,0.7537648221343873,0.7968014975388845,0.5849056603773585,0.41524475524475524
9,0.49204973727464674,0.7625570776255708,0.8349139242533429,0.8505542278289795,0.5849056603773585,0.46582548747234653
10,0.4027672201395035,0.7990867579908676,0.8622378330854825,0.8353171050548553,0.5849056603773585,0.4193855453225768
11,0.2769459031522274,0.8767123287671232,0.9182828282828283,1.2810767889022827,0.39622641509433965,0.30846753246753245
12,0.27883595526218413,0.8584474885844748,0.90880880141139,0.9141677220662435,0.5283018867924528,0.3875736778962585
13,0.17251443788409232,0.9497716894977168,0.9637019607843138,1.1030613879362743,0.5471698113207547,0.3485964912280702
14,0.15346211493015288,0.954337899543379,0.9683820487548459,0.9216138819853464,0.6037735849056604,0.4474207383735598
15,0.1150957491248846,0.9863013698630136,0.9916537431270266,1.173814555009206,0.4339622641509434,0.3677968877968878
16,0.08779299817979336,0.9680365296803652,0.9800439642692638,0.9816226760546366,0.5849056603773585,0.45858585858585854
17,0.07418567128479481,0.9908675799086758,0.9944724556489263,0.9993842740853628,0.6415094339622641,0.491699604743083
18,0.06444382891058922,0.9908675799086758,0.993408615170886,1.06403349339962,0.660377358490566,0.4932173913043479
19,0.05422346964478493,0.9954337899543378,0.9972304093567251,1.233385682106018,0.4716981132075472,0.39789275240888144
20,0.03966547306627035,0.9954337899543378,0.9972179143756754,1.1134634564320247,0.6037735849056604,0.4385652442795299
21,0.03691136054694653,0.9908675799086758,0.9944486121530381,1.125650202234586,0.6226415094339622,0.48266578831796225
22,0.029973563132807614,0.9954337899543378,0.9972179143756754,1.2858134309450786,0.5471698113207547,0.44805976925542146
23,0.030998533591628075,0.9954337899543378,0.9972304093567251,1.138795517385006,0.5849056603773585,0.44093852493482466
24,0.02185756117105484,0.9954337899543378,0.9972304093567251,1.1365783487757046,0.6037735849056604,0.4567488016146665
25,0.025594590790569784,0.9954337899543378,0.9972304093567251,1.1685173610846202,0.5660377358490566,0.4477612564569086
26,0.01969149000942707,0.9954337899543378,0.9972304093567251,1.162894348303477,0.6037735849056604,0.4631005709266578
27,0.02074487367644906,0.9954337899543378,0.9972304093567251,1.1633696630597115,0.6037735849056604,0.4653754940711462
28,0.018473250698298214,0.9954337899543378,0.9972179143756754,1.1803889597455661,0.5849056603773585,0.4565903257510942
29,0.017655684519559144,0.9954337899543378,0.9972304093567251,1.1869524444142978,0.6037735849056604,0.4653754940711462
30,0.020820707362145186,0.9954337899543378,0.9972304093567251,1.1941739693284035,0.6037735849056604,0.4653754940711462
31,0.01656975392252207,0.9954337899543378,0.9972304093567251,1.1902516906460126,0.6037735849056604,0.4653754940711462
32,0.014744141604751348,0.9908675799086758,0.9944486121530381,1.1908299575249355,0.6037735849056604,0.4653754940711462
33,0.019234120706096293,0.9954337899543378,0.9972304093567251,1.186228521168232,0.6037735849056604,0.4653754940711462
