epoch,train_loss,train_acc,val_loss,val_acc
1,1.6491945537653836,0.319634703196347,1.278977700642177,0.5094339622641509
2,1.347771459276026,0.4383561643835616,1.2288994703974043,0.4339622641509434
3,1.2469169692559676,0.45662100456621,1.1226849257946014,0.4716981132075472
4,1.1053941761905497,0.5342465753424658,1.211705471788134,0.4339622641509434
5,0.9150401175022125,0.6301369863013698,1.4419563242367335,0.33962264150943394
6,0.85722962428223,0.639269406392694,1.0074366245950972,0.5094339622641509
7,0.6158754164522344,0.771689497716895,1.093839134488787,0.49056603773584906
8,0.4060129422355782,0.8401826484018264,1.2816565845693861,0.49056603773584906
9,0.3218244822865183,0.867579908675799,1.8098805163587843,0.3584905660377358
10,0.2559388849545609,0.8721461187214612,1.442066571542195,0.49056603773584906
11,0.1534000740809874,0.9406392694063926,1.9285632270787443,0.49056603773584906
12,0.13966301936148243,0.9497716894977168,1.918334957744394,0.4528301886792453
