epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,1.6386581453410063,0.3150684931506849,0.21680904322326294,1.3957774639129639,0.22641509433962265,0.07384615384615385
2,1.5947144378315319,0.2465753424657534,0.19024143222506393,1.2508288536752974,0.4528301886792453,0.2435294117647059
3,1.4780150521885265,0.3561643835616438,0.26562803942139235,1.3226173690387182,0.3584905660377358,0.2070953032375741
4,1.3322524775158275,0.4429223744292237,0.344293368174128,1.2888282154287611,0.3584905660377358,0.19121447028423771
5,1.3766350681131536,0.3789954337899543,0.3119923976523487,1.0353799888065882,0.5849056603773585,0.460031185031185
6,1.3109830379486085,0.4155251141552511,0.33199123013076504,1.09853338769504,0.39622641509433965,0.31333333333333335
7,1.2840629350055348,0.410958904109589,0.3279178138306961,1.0779727229050227,0.33962264150943394,0.23713747645951036
8,1.32435189593922,0.4931506849315068,0.39013164431197217,1.0617954986436027,0.5660377358490566,0.47205697528278173
9,1.2625927101482044,0.4840182648401826,0.37268491936455483,1.0547705463000707,0.4528301886792453,0.35692612398494755
10,1.1663834896954623,0.502283105022831,0.40961089286594987,0.9624316990375519,0.6037735849056604,0.4619683202179615
11,1.1686511175198988,0.5159817351598174,0.41109445277361323,1.1048489127840315,0.5471698113207547,0.41839202657807306
12,1.1879653605547817,0.5205479452054794,0.40877790352745375,0.9778330368655068,0.6037735849056604,0.4636097820308346
13,1.0453074043447321,0.5342465753424658,0.43323952582018527,1.0358925036021642,0.5283018867924528,0.40225108225108225
