epoch,train_loss,train_acc,val_loss,val_acc
1,1.5867377508770335,0.2922374429223744,1.412699614252363,0.4339622641509434
2,1.4958422715013677,0.3287671232876712,1.2593993203980582,0.4528301886792453
3,1.3606029933149164,0.4018264840182648,1.1098062268325262,0.49056603773584906
4,1.165193189274181,0.4885844748858447,1.2237956438745772,0.41509433962264153
5,1.1092459418556906,0.4885844748858447,1.1728273034095764,0.5283018867924528
6,0.9576196442950856,0.5844748858447488,1.2123624554702215,0.5094339622641509
7,0.9059859590096907,0.6255707762557078,1.2300739330904824,0.41509433962264153
8,0.7521221526644447,0.7077625570776256,1.185753264597484,0.5660377358490566
9,0.6218722243200648,0.7488584474885844,1.3487137002604348,0.4528301886792453
10,0.546829718215899,0.771689497716895,1.4612933950764793,0.4339622641509434
11,0.45203068215738645,0.8264840182648402,1.5506721649851118,0.49056603773584906
12,0.41603671437637374,0.8584474885844748,1.6169485981975282,0.5283018867924528
13,0.30343999749218875,0.8858447488584474,1.7655514478683472,0.49056603773584906
