Model,F1-Macro (Mean),F1-Macro (Std),F1-Macro (Formatted)
XGBoost,0.5445153457653458,0.045620736294117364,0.5445 ± 0.0456
Voting Ensemble,0.5299158648369174,0.08732716836943047,0.5299 ± 0.0873
Random Forest,0.45534757834757833,0.06951533188263403,0.4553 ± 0.0695
Gradient Boosting,0.4195393265444416,0.09587755782240465,0.4195 ± 0.0959
SVM,0.3851468116768292,0.0648926511886968,0.3851 ± 0.0649
