,XGBoost,Voting Ensemble,Random Forest,Gradient Boosting,SVM
Fold 1,0.551923076923077,0.625,0.4314285714285715,0.503191856452726,0.4911111111111111
Fold 2,0.6223290598290598,0.44871794871794873,0.5053571428571428,0.3519230769230769,0.42846153846153845
Fold 3,0.4921016483516484,0.5707417582417582,0.32916666666666666,0.4988095238095238,0.341644385026738
Fold 4,0.550595238095238,0.6008771929824561,0.5142857142857143,0.48043884220354804,0.34748803827751196
Fold 5,0.5056277056277056,0.40424242424242424,0.49649979649979653,0.2633333333333333,0.31702898550724634
