fold,f1_macro,accuracy,balanced_accuracy,class_0_f1,class_1_f1,class_2_f1,class_3_f1
1,0.5464285714285715,0.5925925925925926,0.5297619047619048,0.6666666666666666,0.4,0.2857142857142857,0.8333333333333334
2,0.44880952380952377,0.5555555555555556,0.4613095238095238,0.3333333333333333,0.2,0.42857142857142855,0.8333333333333334
3,0.4591093117408907,0.46153846153846156,0.4611111111111111,0.4,0.4,0.42105263157894735,0.6153846153846154
4,0.6074481074481075,0.6538461538461539,0.6770833333333333,0.6666666666666666,0.4444444444444444,0.46153846153846156,0.8571428571428571
5,0.4405797101449275,0.5,0.45138888888888884,0.4,0.3333333333333333,0.3333333333333333,0.6956521739130435
